48.7115 14 7 6
60.957 9 0 2
31.7204 1 11 16
66.8065 15 12 5
35.5619 19 11 4
65.1272 16 14 8
17.4238 10 18 5
35.5815 4 9 11
38.0789 7 16 19
66.9916 3 4 18
79.0223 12 3 14
38.0954 5 15 19
19.7853 15 13 7
41.2912 10 2 1
54.8882 5 17 8
47.7565 8 13 17
52.9222 19 7 12
40.9386 5 9 17
35.7425 14 11 7
31.474 18 11 0
27.6546 16 7 5
39.9124 15 18 16
44.2291 4 0 19
25.5586 16 1 5
36.9983 5 0 19
28.6961 16 11 6
90.4095 11 13 3
28.7512 1 11 0
27.6483 7 16 18
44.9843 4 17 11
53.0481 6 14 0
41.2264 16 3 18
48.1023 5 10 16
64.8834 10 9 3
45.701 1 13 18
32.8895 0 16 14
55.2051 14 16 10
56.2522 11 15 6
39.8574 3 5 0
36.4742 2 15 18
58.2836 5 4 2
53.6987 10 10 18
60.7277 3 5 16
41.4594 9 9 7
51.8767 18 15 19
54.5472 12 0 16
40.4955 17 13 2
39.1007 10 11 14
56.756 4 7 2
82.1589 18 14 3
65.566 8 3 3
54.1819 11 18 2
38.6399 15 3 13
46.3247 10 2 14
72.3242 2 12 15
79.4586 5 12 6
43.1524 0 3 13
35.7625 4 16 5
46.9345 12 6 17
48.4984 8 19 1
52.7806 7 3 3
49.5953 18 10 1
41.7557 13 11 10
40.7188 10 1 6
37.5865 4 9 6
48.4037 1 15 10
73.092 5 3 18
70.5215 1 14 2
43.1666 15 17 7
26.5692 0 13 6
67.8188 4 8 5
64.1285 3 8 5
63.3519 12 6 9
47.8203 19 8 13
14.296 0 13 16
112.338 12 12 12
43.6281 7 3 15
39.4336 2 4 2
28.8415 2 16 13
36.8841 4 19 14
54.5847 11 9 14
109.091 2 3 2
48.3992 13 5 5
78.3701 6 12 11
34.5651 9 5 5
33.4633 13 11 11
41.7388 0 13 4
55.0937 13 2 0
59.9296 16 13 12
44.9909 14 16 9
28.2582 13 18 10
45.1065 12 16 3
53.8644 11 13 18
53.8128 9 17 12
34.5592 16 18 19
45.039 7 16 2
66.7894 16 18 8
38.4157 9 4 14
52.6772 13 8 0
42.5974 18 0 10
52.0812 0 16 18
34.1345 9 13 7
58.9216 10 14 17
58.315 10 19 8
45.7908 5 16 10
22.39 6 15 1
40.81 1 6 17
58.9249 8 16 19
18.1564 3 15 11
43.0987 12 6 7
69.786 12 15 15
34.5897 14 0 16
97.9105 12 10 8
66.3251 15 8 15
78.3635 9 2 2
59.0511 14 2 17
60.6272 4 10 7
61.2431 11 2 16
83.747 8 18 12
46.8389 6 19 18
61.0674 10 6 12
56.5735 6 15 19
38.9549 19 0 9
53.9558 7 14 13
43.093 7 1 7
18.0061 3 15 15
37.4681 19 0 1
26.2134 7 13 10
51.5926 3 9 10
40.2276 11 4 16
33.5735 1 16 3
71.296 12 5 16
50.5543 13 2 15
60.3786 12 19 18
40.3943 13 1 10
23.7334 13 6 13
46.5255 10 19 19
33.3069 4 5 0
42.2084 7 7 15
53.4355 15 8 1
54.1712 14 14 19
66.3702 8 16 15
80.1832 0 12 8
37.9732 10 5 1
46.8312 16 2 1
77.2371 17 12 6
65.1833 0 8 5
13.6372 18 16 17
72.173 11 8 7
63.0932 8 5 11
40.2282 13 16 5
58.3354 10 17 16
42.2697 0 10 12
41.0489 8 0 13
60.3408 13 10 6
66.6506 6 8 5
42.4794 19 15 6
30.7366 0 13 9
50.4108 6 15 10
25.6752 16 13 4
39.4168 5 9 14
83.732 7 0 12
47.1096 18 10 10
61.9332 4 0 3
46.4184 13 4 11
45.2906 19 16 9
39.3979 10 11 0
38.6372 15 5 6
60.6441 14 17 3
46.912 15 2 10
67.0466 5 12 13
47.8514 18 10 0
51.6261 19 2 17
40.6454 8 1 9
72.7436 9 5 3
42.3788 13 0 6
47.2866 6 2 10
57.5816 3 11 18
61.9486 8 4 11
29.4493 3 4 1
42.3981 10 7 13
63.7906 16 2 14
45.6417 17 17 7
26.1171 13 13 10
56.1363 18 3 15
79.5834 8 18 8
13.9031 10 6 3
24.568 12 15 18
29.374 1 9 5
54.9612 5 19 8
19.123 5 4 5
74.7051 11 8 9
48.9747 5 2 1
75.8741 7 5 2
98.7018 13 12 2
90.8216 3 16 17
23.4632 19 13 9
17.4148 16 13 19
30.8692 5 17 9
22.4461 1 15 11
72.6638 0 8 12
49.9831 5 5 15
48.6086 16 2 0
48.4672 16 6 7
59.2457 8 3 12
26.6024 0 11 4
52.6567 6 15 13
44.9296 13 5 15
62.8355 13 17 16
80.0007 17 18 3
74.6257 3 4 11
28.2753 19 1 17
34.2297 16 6 11
81.9282 12 1 8
58.8518 10 10 8
116.452 3 3 5
61.6727 12 3 8
72.7992 4 12 19
63.7387 8 16 4
42.0458 15 7 11
119.418 8 12 0
46.6666 4 14 16
37.0359 5 10 15
41.9452 16 19 11
41.7329 10 2 3
28.8609 18 7 7
52.2097 6 15 4
39.7152 10 13 1
48.2266 7 17 15
56.6471 9 0 17
42.061 16 5 2
39.6595 5 19 15
49.5296 5 10 5
54.6929 6 16 13
15.6048 17 15 18
70.8147 17 7 12
49.4468 8 6 3
39.2188 11 5 3
57.3319 11 3 19
34.0363 9 11 5
17.6194 19 1 15
